No.,Time,Source,Destination,Protocol,Length,Info,Tam paquete
44,0.234280550,127.0.0.1,127.0.0.1,UDP,108,37154  >  4444 Len=64,64
45,0.236856530,127.0.0.1,127.0.0.1,UDP,108,37154  >  4444 Len=64,64
46,0.247314461,127.0.0.1,127.0.0.1,UDP,107,37154  >  4444 Len=63,63
47,0.258355256,127.0.0.1,127.0.0.1,UDP,111,37154  >  4444 Len=67,67
48,0.269297486,127.0.0.1,127.0.0.1,UDP,101,37154  >  4444 Len=57,57
49,0.280288638,127.0.0.1,127.0.0.1,UDP,110,37154  >  4444 Len=66,66
50,0.284709907,127.0.0.1,127.0.0.1,UDP,108,37154  >  4444 Len=64,64
51,0.295728799,127.0.0.1,127.0.0.1,UDP,108,37154  >  4444 Len=64,64
52,0.299830088,127.0.0.1,127.0.0.1,UDP,106,37154  >  4444 Len=62,62
53,0.310823313,127.0.0.1,127.0.0.1,UDP,109,37154  >  4444 Len=65,65
54,0.312195615,127.0.0.1,127.0.0.1,UDP,107,37154  >  4444 Len=63,63
55,0.314583606,127.0.0.1,127.0.0.1,UDP,109,37154  >  4444 Len=65,65
56,0.318277504,127.0.0.1,127.0.0.1,UDP,106,37154  >  4444 Len=62,62
57,0.332785841,127.0.0.1,127.0.0.1,UDP,107,37154  >  4444 Len=63,63
58,0.338446176,127.0.0.1,127.0.0.1,UDP,110,37154  >  4444 Len=66,66
59,0.349534583,127.0.0.1,127.0.0.1,UDP,104,37154  >  4444 Len=60,60
60,0.354309357,127.0.0.1,127.0.0.1,UDP,110,37154  >  4444 Len=66,66
61,0.365494669,127.0.0.1,127.0.0.1,UDP,103,37154  >  4444 Len=59,59
62,0.366530745,127.0.0.1,127.0.0.1,UDP,107,37154  >  4444 Len=63,63
63,0.377560846,127.0.0.1,127.0.0.1,UDP,109,37154  >  4444 Len=65,65
64,0.388652730,127.0.0.1,127.0.0.1,UDP,104,37154  >  4444 Len=60,60
65,0.390969508,127.0.0.1,127.0.0.1,UDP,110,37154  >  4444 Len=66,66
66,0.402066121,127.0.0.1,127.0.0.1,UDP,109,37154  >  4444 Len=65,65
67,0.413057433,127.0.0.1,127.0.0.1,UDP,104,37154  >  4444 Len=60,60
68,0.423963669,127.0.0.1,127.0.0.1,UDP,107,37154  >  4444 Len=63,63
69,0.424072153,127.0.0.1,127.0.0.1,UDP,106,37154  >  4444 Len=62,62
70,0.432724813,127.0.0.1,127.0.0.1,UDP,111,37154  >  4444 Len=67,67
71,0.432987708,127.0.0.1,127.0.0.1,UDP,111,37154  >  4444 Len=67,67
72,0.436097193,127.0.0.1,127.0.0.1,UDP,109,37154  >  4444 Len=65,65
73,0.446991993,127.0.0.1,127.0.0.1,UDP,102,37154  >  4444 Len=58,58
74,0.453309341,127.0.0.1,127.0.0.1,UDP,110,37154  >  4444 Len=66,66
75,0.455413596,127.0.0.1,127.0.0.1,UDP,109,37154  >  4444 Len=65,65
